index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
6998,GS25논현행운점,편의점,서울특별시,강남구,논현1동,서울특별시 강남구 논현동 1-5번지 ,"서울특별시 강남구 강남대로150길 11, (논현동)",1,127.0207838,37.51603186
6999,씨유잠실현대,편의점,서울특별시,송파구,잠실본동,서울특별시 송파구 잠실동 337-3번지 ,"서울특별시 송파구 백제고분로20길 7-1, (잠실동)",1,127.086223,37.50403157
7000,세븐일레븐,편의점,서울특별시,중구,명동,서울특별시 중구 을지로2가 204번지 ,"서울특별시 중구 을지로5길 16, (을지로2가)",1,126.9848909,37.56694427
7001,방배서리풀재건축주택,편의점,서울특별시,서초구,방배1동,서울특별시 서초구 방배동 906-13번지 서리풀E편한세상 ,"서울특별시 서초구 효령로33길 50, (방배동, 서리풀E편한세상)",,126.9975865,37.48361561
7002,CU,편의점,서울특별시,강서구,화곡6동,서울특별시 강서구 화곡동 1098번지 ,"서울특별시 강서구 우장산로15길 21, (화곡동)",1,126.8504418,37.55409731
7003,CU,편의점,서울특별시,동대문구,장안2동,서울특별시 동대문구 장안동 127-1번지 ,"서울특별시 동대문구 답십리로63길 65, (장안동)",1,127.0688548,37.5755746
7004,CU,편의점,서울특별시,중구,필동,서울특별시 중구 묵정동 1-19번지 ,"서울특별시 중구 서애로1길 17, (묵정동)",,126.9996198,37.56170879
7005,CU,편의점,서울특별시,은평구,불광2동,서울특별시 은평구 불광동 189-9번지 ,"서울특별시 은평구 불광로 176, (불광동)",1,126.9315546,37.62225661
7006,세븐일레븐,편의점,서울특별시,동작구,대방동,서울특별시 동작구 대방동 341-2번지 ,"서울특별시 동작구 노량진로 4, (대방동)",,126.9262227,37.51239877
7007,GS25자양타워점,편의점,서울특별시,광진구,자양1동,서울특별시 광진구 자양동 779번지 ,"서울특별시 광진구 아차산로 355, (자양동)",1,127.0825464,37.53736014
7008,GS25삼청제일점,편의점,서울특별시,종로구,삼청동,서울특별시 종로구 삼청동 71번지 ,"서울특별시 종로구 삼청로 108, (삼청동)",1,126.9821998,37.585023
7009,CU,편의점,서울특별시,광진구,자양4동,서울특별시 광진구 자양동 24-5번지 ,"서울특별시 광진구 동일로18길 11, (자양동)",1,127.0635484,37.54004933
7010,CU성수휴먼테코점,편의점,서울특별시,성동구,성수2가3동,서울특별시 성동구 성수동2가 281-16번지 ,"서울특별시 성동구 아차산로17길 57, (성수동2가)",1,127.0657078,37.54745505
7011,gs25상도예빈점,편의점,서울특별시,동작구,상도2동,서울특별시 동작구 상도동 185-1번지 ,"서울특별시 동작구 상도로 162, (상도동)",1,126.9372521,37.50356915
7012,세븐일레븐,편의점,서울특별시,은평구,응암1동,서울특별시 은평구 응암동 88-23번지 ,"서울특별시 은평구 은평로9길 14-1, (응암동)",1,126.9216135,37.60152356
7013,CU,편의점,서울특별시,강남구,일원본동,서울특별시 강남구 일원동 50번지 ,"서울특별시 강남구 일원로 81, (일원동)",1,127.0895788,37.49033434
7014,세븐일레븐,편의점,서울특별시,서대문구,홍은2동,서울특별시 서대문구 홍은동 427-3번지 ,"서울특별시 서대문구 연희로 276, (홍은동)",,126.9365502,37.58168316
7015,팝스도어세종대정,편의점,서울특별시,광진구,군자동,서울특별시 광진구 군자동 373-8번지 ,"서울특별시 광진구 광나루로17길 10, (군자동)",,127.0728406,37.54810597
7016,gs25,편의점,서울특별시,금천구,가산동,서울특별시 금천구 가산동 459-22번지 ,"서울특별시 금천구 가산디지털2로 165, (가산동)",,126.8774447,37.48241804
7017,GS25송파한솔점,편의점,서울특별시,송파구,석촌동,서울특별시 송파구 석촌동 246-13번지 ,"서울특별시 송파구 가락로11길 35, (석촌동)",1,127.1034343,37.50333448
7018,세븐일레븐,편의점,서울특별시,중랑구,중화2동,서울특별시 중랑구 중화동 300-49번지 ,"서울특별시 중랑구 동일로123길 49, (중화동)",,127.0772277,37.59795924
7019,GS25,편의점,서울특별시,강남구,압구정동,서울특별시 강남구 신사동 659-11번지 ,"서울특별시 강남구 압구정로50길 14, (신사동)",1,127.0378544,37.52741729
7020,인더라인25,편의점,서울특별시,강북구,송중동,서울특별시 강북구 미아동 131-1번지 ,"서울특별시 강북구 도봉로38길 10, (미아동)",1,127.0283143,37.62258851
7021,세븐일레븐화양사거리점,편의점,서울특별시,광진구,화양동,서울특별시 광진구 화양동 23-40번지 ,"서울특별시 광진구 동일로 166, (화양동)",1,127.0669709,37.54689738
7022,GS25,편의점,서울특별시,노원구,상계2동,서울특별시 노원구 상계동 321-12번지 ,"서울특별시 노원구 노원로32길 19, (상계동)",,127.0683202,37.65566386
7023,GS25,편의점,서울특별시,동대문구,용신동,서울특별시 동대문구 신설동 24-1번지 ,"서울특별시 동대문구 한빛로 24, (신설동)",1,127.025593,37.57763122
7024,GS25서울산업대점,편의점,서울특별시,노원구,공릉2동,서울특별시 노원구 공릉동 441-19번지 ,"서울특별시 노원구 공릉로 207, (공릉동)",1,127.0776394,37.62790406
7025,GS25,편의점,서울특별시,성동구,왕십리2동,서울특별시 성동구 하왕십리동 1058번지 ,"서울특별시 성동구 난계로 67, (하왕십리동)",,127.023937,37.5579207
7026,CU송파세륜점,편의점,서울특별시,송파구,오금동,서울특별시 송파구 오금동 22-3번지 ,"서울특별시 송파구 위례성대로22길 24, (오금동)",1,127.1302601,37.50836472
7027,세븐일레븐,편의점,서울특별시,서초구,잠원동,서울특별시 서초구 잠원동 60-6번지 신반포한신아파트 ,"서울특별시 서초구 신반포로33길 30, (잠원동, 신반포한신아파트)",,127.0104035,37.51144009
7028,씨유신림우리,편의점,서울특별시,관악구,신림동,서울특별시 관악구 신림동 1417-5번지 ,"서울특별시 관악구 신림로68길 35, (신림동)",1,126.931329,37.4866661
7029,세븐일레븐건대제일점,편의점,서울특별시,광진구,화양동,서울특별시 광진구 화양동 47-67번지 ,"서울특별시 광진구 동일로22길 59, (화양동)",1,127.0676129,37.54169437
7030,세븐일레븐,편의점,서울특별시,용산구,한남동,서울특별시 용산구 한남동 산10-33번지 ,"서울특별시 용산구 이태원로 281, (한남동)",1,127.0015199,37.5397664
7031,세븐일레븐,편의점,서울특별시,강서구,화곡6동,서울특별시 강서구 화곡동 1112-1번지 ,"서울특별시 강서구 공항대로46길 35, (화곡동)",,126.8524781,37.55415316
7032,중구디오빌점,편의점,서울특별시,중구,중림동,서울특별시 중구 만리동1가 62-7번지 ,"서울특별시 중구 만리재로 193, (만리동1가)",1,126.9672046,37.55500524
